dateissue,Value
14011101,1657576.7
14011028,1689144.1
14011027,1687047.7
14011026,1680675.2
14011025,1643714
14011024,1643714
14011021,1652087
14011020,1668186.9
14011019,1646905.8
14011018,1635229.2
14011017,1598061.4
14011014,1579119.3
14011013,1591353.9
14011012,1593285
14011011,1564365.7
14011010,1590495.5
14011007,1647314.5
14011005,1576396.8
14011004,1563567.4
14011003,1538003.2
14010930,1496200.8
14010929,1492095.1
14010928,1500908.6
14010927,1500241.8
14010926,1469933.2
14010923,1472760.5
14010922,1454468.2
14010921,1409355.1
14010920,1389362.2
14010919,1383737.5
14010916,1402830.4
14010915,1409404.4
14010914,1413604.7
14010913,1417839.4
14010912,1417719.8
14010909,1417371.8
14010908,1414204.6
14010907,1408348.5
14010906,1406202
14010905,1408210.9
14010902,1410188.2
14010901,1407654.1
14010830,1408597.9
14010829,1404627.2
14010828,1393086.2
14010825,1413573.7
14010824,1410423.9
14010823,1408174.3
14010822,1419140.2
14010821,1426096
14010818,1414356.2
14010817,1407734.1
14010816,1389752.6
14010815,1344675.9
14010814,1328324.1
14010811,1283540.8
14010810,1280456.2
14010809,1269833.4
14010808,1254464.8
14010807,1244627.3
14010804,1241067.1
14010803,1267060.7
14010802,1277736.9
14010801,1296797.8
14010730,1308960
14010727,1310165.9
14010726,1312563.2
14010725,1311109.9
14010724,1311288.6
14010723,1317894.2
14010720,1319789.7
14010719,1313583.9
14010718,1303920.4
14010717,1305083
14010716,1316721.1
14010712,1313853.1
14010711,1318714.2
14010710,1322025.8
14010709,1330879.1
14010706,1346563.5
14010704,1334448.1
14010702,1328185.9
14010630,1355240.9
14010629,1367060.4
14010628,1373821.4
14010627,1377917.5
14010623,1389099
14010622,1393126.7
14010621,1388970.4
14010620,1390732.4
14010619,1397434.5
14010616,1412856.5
14010615,1420834.1
14010614,1426779.6
14010613,1426908.2
14010612,1426941.2
14010609,1439396.4
14010608,1441217.1
14010607,1445139
14010606,1444086.8
14010605,1450045.2
14010602,1442372.9
14010601,1431477.2
14010531,1424490.9
14010530,1429906.8
14010529,1438819.2
14010526,1451404.1
14010525,1459500.6
14010524,1463697.6
14010523,1463653.5
14010522,1467100.6
14010519,1448464.5
14010518,1451941.9
14010515,1448922.6
14010512,1437360.8
14010511,1430021
14010510,1427605.6
14010509,1423496.7
14010508,1440855.3
14010505,1443712.6
14010504,1438448.4
14010503,1439416.8
14010502,1463758.4
14010501,1473499.1
14010429,1471898.2
14010428,1468893.1
14010426,1469832.5
14010425,1480051.2
14010422,1490051.8
14010421,1483534.7
14010420,1487597.8
14010418,1498512.7
14010415,1502603.8
14010414,1511075.5
14010413,1507156.8
14010412,1502986.2
14010411,1501631.9
14010408,1513715.5
14010407,1514434.5
14010406,1504065.4
14010405,1501340
14010404,1520334.9
14010401,1533393.9
14010331,1539632.2
14010330,1547247.2
14010329,1545962.9
14010328,1547738.5
14010325,1564334
14010324,1574065.3
14010323,1571445.2
14010322,1532387.2
14010321,1518289.8
14010318,1520298.7
14010317,1515387.7
14010316,1514310
14010311,1541980
14010310,1542711.1
14010309,1537380.3
14010308,1534057.1
14010307,1553401.9
14010304,1564487.5
14010303,1555689
14010302,1557210.6
14010301,1582222.7
14010231,1579686.7
14010228,1594977.7
14010227,1606024.3
14010226,1583800.5
14010225,1572979.8
14010224,1578410.9
14010221,1564449.1
14010220,1539530.7
14010219,1540099.2
14010218,1553041.8
14010217,1543847.5
14010212,1529717.5
14010211,1523471.2
14010210,1522439.4
14010207,1521423.3
14010206,1522868.2
14010205,1507249.3
14010204,1504715.6
14010131,1512219.1
14010130,1513105.7
14010129,1501842.6
14010128,1475058.6
14010127,1467644.8
14010124,1454129.3
14010123,1446026.9
14010122,1479493
14010121,1474113
14010120,1458772.7
14010117,1463779.7
14010116,1471438.4
14010115,1468820.1
14010114,1462003
14010110,1432106.5
14010109,1414249.5
14010108,1418651.9
14010107,1403617.9
14010106,1390859.7
14001228,1367250.3
14001225,1345018.2
14001224,1337223.2
14001223,1334776.9
14001222,1335376.4
14001221,1332933.3
14001218,1348303.3
14001217,1336569.2
14001216,1342906.7
14001215,1322598.5
14001214,1298782.7
14001211,1281190.8
14001209,1281934.2
14001208,1279292.7
14001207,1282870.8
14001204,1288310.3
14001203,1284876.1
14001202,1281589.4
14001201,1274304.7
14001130,1282190.8
14001127,1282411.4
14001125,1283324.2
14001124,1275996.2
14001123,1284061.7
14001120,1284160.1
14001119,1281075.4
14001118,1274467.5
14001117,1282050
14001116,1304411.1
14001113,1301161.5
14001112,1301234
14001111,1294619.1
14001110,1284647.4
14001109,1258995.1
14001106,1229368.4
14001105,1207926.7
14001104,1234707.7
14001103,1256512.8
14001102,1281801
14001029,1279393.9
14001028,1275966.4
14001027,1306472.1
14001026,1310804.5
14001025,1322569.8
14001022,1334265
14001021,1334703.5
14001020,1332755.6
14001019,1336820.7
14001018,1362458
14001015,1363095.8
14001014,1362828.6
14001013,1376049.3
14001012,1379041.1
14001011,1378777.4
14001008,1397311.4
14001007,1399910.9
14001006,1400314.6
14001005,1383987.9
14001004,1385504.6
14001001,1359024.5
14000930,1318359.7
14000929,1301542.3
14000928,1291675.8
14000927,1305535.5
14000924,1293237.9
14000923,1291839.4
14000922,1295550.1
14000921,1320776.7
14000920,1344441.6
14000917,1349389.3
14000916,1338016
14000915,1342353.6
14000914,1343202.7
14000913,1334765.9
14000910,1340071.9
14000909,1357128.9
14000908,1363939
14000907,1368005.2
14000906,1366713.9
14000903,1394105.7
14000902,1404551.7
14000901,1407132.9
14000830,1386935.3
14000829,1383491.9
14000826,1410778.6
14000825,1408595.7
14000824,1416298.7
14000823,1442515.7
14000822,1439244.4
14000819,1456479.9
14000818,1447674.8
14000817,1434378.9
14000816,1430892.2
14000815,1440651.5
14000812,1398416.5
14000811,1376091.9
14000810,1361414.8
14000809,1340290.8
14000808,1375669.2
14000805,1393960.8
14000804,1384452.2
14000803,1384133.5
14000801,1407758
14000728,1436357.1
14000727,1449496.9
14000726,1436916.8
14000725,1436109.9
14000724,1437465.5
14000721,1397386.1
14000720,1418683
14000719,1457493.6
14000718,1455612
14000717,1466031.4
14000714,1488264.5
14000712,1484652.8
14000711,1476680.3
14000710,1473476
14000707,1436984.3
14000706,1425447.4
14000704,1424732.3
14000703,1422118.5
14000631,1386451
14000630,1391236.1
14000629,1427773.2
14000628,1420479
14000627,1450225.4
14000624,1488212.7
14000623,1496962.7
14000622,1475224.9
14000621,1489983.3
14000620,1530461.8
14000617,1526008.3
14000616,1523059.9
14000615,1538484.5
14000614,1537192.9
14000613,1541051.8
14000610,1520627.1
14000609,1496150.8
14000608,1523969.6
14000607,1573406.5
14000606,1575762
14000603,1550208.4
14000602,1543448.3
14000601,1515923.5
14000531,1515548.6
14000524,1499923.4
14000523,1480803.6
14000520,1484627.3
14000519,1453811.7
14000518,1433201.7
14000517,1417861.9
14000516,1407762.2
14000513,1406040.3
14000512,1375647.2
14000511,1357895.2
14000510,1360246.6
14000509,1351500.1
14000506,1316504.6
14000505,1314909.1
14000504,1323354.6
14000428,1311306
14000427,1302857.2
14000426,1311241
14000423,1305495.5
14000422,1303890.1
14000421,1304336.3
14000420,1285256.4
14000419,1270744.3
14000416,1282036.1
14000415,1281187
14000414,1254561.8
14000413,1243719.1
14000412,1246111.9
14000409,1256978.2
14000408,1248516.5
14000407,1243812.3
14000406,1238487.2
14000405,1233738.1
14000402,1213054.6
14000401,1186921.5
14000331,1168664.7
14000330,1163757
14000329,1162032
14000326,1147675
14000325,1150129.2
14000324,1150203.6
14000323,1141225.9
14000322,1144955
14000319,1151846.3
14000318,1160665.6
14000317,1157205.4
14000312,1148642.7
14000311,1140475.4
14000310,1145930
14000309,1156933.8
14000308,1139534.9
14000305,1109348.8
14000304,1105454.2
14000303,1095697.7
14000302,1107915.1
14000301,1128218.2
14000229,1154844.7
14000228,1173514.3
14000227,1174659.7
14000226,1188811.1
14000225,1189595.7
14000222,1184000.3
14000221,1179527.1
14000220,1157682.9
14000219,1151896.4
14000218,1167462.4
14000215,1172262.4
14000213,1167045.1
14000212,1180663.6
14000211,1194338.6
14000208,1207850.4
14000207,1202630.4
14000206,1186956.5
14000205,1187843
14000204,1199341.7
14000201,1207047
14000131,1219589.9
14000130,1216874.3
14000129,1224795.3
14000128,1233781.8
14000125,1243358.7
14000124,1244556.7
14000123,1226158.2
14000122,1230876.5
14000121,1240696.7
14000118,1249910.4
14000117,1260785.7
14000116,1262735.3
14000115,1269478.7
14000114,1282948.7
14000111,1294521.6
14000110,1303193.7
14000108,1306887.8
14000107,1309561.6
13991227,1307707.1
13991226,1290474.5
13991225,1254213
13991224,1245186
13991223,1229377.2
13991220,1206878
13991219,1210146.7
13991218,1199888.4
13991217,1175595.8
13991216,1169724.3
13991213,1177916.9
13991212,1186277.3
13991211,1181641.2
13991210,1185603.7
13991209,1194009.9
13991206,1205832.4
13991205,1211642.8
13991204,1214482.7
13991203,1222614.3
13991202,1232716.1
13991129,1238357.4
13991128,1245882.9
13991127,1257286.2
13991126,1264368.7
13991125,1262253.7
13991121,1214416.1
13991120,1192744.4
13991119,1170532.9
13991118,1135345.5
13991115,1173010.7
13991114,1205467.1
13991113,1233667.6
13991112,1251041.7
13991111,1247152.7
13991108,1207698.3
13991107,1215033.1
13991106,1235783.1
13991105,1234557.5
13991104,1222070.6
13991101,1183978.2
